"vuosi";"atyyppi";"amuutto_lahto";"tyopaikka_muutto_lahto";"tyollistyy_muutto_lahto";"amuutto_tulo";"tyopaikka_muutto_tulo";"tyollistyy_muutto_tulo";"tyo_muutto_lahto";"tyo_muutto_tulo"
2009;"tkakeskus";25380;4167;3023;23796;3759;2499;7190;6258
2009;"yokaup";39349;7525;4801;42371;6699;4932;12326;11631
2009;"pk";39538;6632;2908;41962;7953;5253;9540;13206
2010;"ms";10017;1456;1441;8214;1348;981;2897;2329
2010;"ydinms";19953;2708;2919;17365;2555;1958;5627;4513
2010;"kaupms";20112;2678;2540;19377;2782;1783;5218;4565
2010;"kaup";29665;4764;3517;30322;4815;3119;8281;7934
2010;"tkakeskus";26026;4369;3878;24714;3961;3382;8247;7343
2010;"yokaup";41398;7960;6356;44647;7230;6494;14316;13724
2010;"pk";39829;6851;3465;42361;8095;6399;10316;14494
2011;"ms";10264;1660;1401;8109;1406;872;3061;2278
2011;"ydinms";21304;3191;3049;18092;2815;1969;6240;4784
2011;"kaupms";20722;3039;2497;20211;3135;1846;5536;4981
2011;"kaup";30769;5300;3646;30361;5281;3158;8946;8439
2011;"tkakeskus";27133;4946;3929;25858;4617;3489;8875;8106
2011;"yokaup";42967;9011;6341;46822;8211;6668;15352;14879
2011;"pk";40352;7741;3579;44058;9423;6440;11320;15863
2012;"ms";10059;1515;1319;7942;1343;898;2834;2241
2012;"ydinms";20916;3062;2623;17384;2612;1755;5685;4367
2012;"kaupms";20337;2895;2223;19779;3028;1579;5118;4607
2012;"kaup";31081;5081;3288;30375;5052;2693;8369;7745
2012;"tkakeskus";26989;4929;3549;25130;4174;3030;8478;7204
2012;"yokaup";42299;8554;5797;46882;8029;6182;14351;14211
2012;"pk";41658;7527;3467;45847;9325;6129;10994;15454
2013;"ms";9639;1415;1185;7681;1287;759;2600;2046
2013;"ydinms";20316;2825;2483;16735;2444;1551;5308;3995
2013;"kaupms";19585;2705;2106;18180;2735;1380;4811;4115
2013;"kaup";29629;4776;2898;29318;4751;2497;7674;7248
2013;"tkakeskus";26426;4623;3238;24318;3955;2828;7861;6783
2013;"yokaup";41325;8377;5449;46445;7984;5683;13826;13667
2013;"pk";40495;7497;3151;44738;9062;5812;10648;14874
2014;"ms";9451;1270;1142;7574;1180;834;2412;2014
2014;"ydinms";19892;2421;2358;16474;2157;1580;4779;3737
2014;"kaupms";19590;2454;2057;18045;2351;1412;4511;3763
2014;"kaup";30059;4351;3106;29090;4150;2601;7457;6751
2014;"tkakeskus";26894;4270;3296;24675;3632;2995;7566;6627
2014;"yokaup";41886;7903;5550;47218;7297;5636;13453;12933
2014;"pk";40593;6494;3289;45289;8396;5740;9783;14136
2015;"ms";9587;1318;1138;7485;1241;845;2456;2086
2015;"ydinms";20696;2676;2546;16487;2201;1566;5222;3767
2015;"kaupms";19860;2628;2149;18290;2483;1576;4777;4059
2015;"kaup";30753;4662;3178;29916;4525;2845;7840;7370
2015;"tkakeskus";27565;4690;3414;25024;3840;2984;8104;6824
2015;"yokaup";43938;8490;6166;49305;7996;6050;14656;14046
2015;"pk";42250;7286;3558;48142;9464;6283;10844;15747
