"";"vuosi";"atyyppi";"atyyppi_tp";"amma3";"N"
"104";1995;"ydinms";"ms";"pal, myynti & hoito tt";171
"105";1995;"ydinms";"ms";"maanvil & metsä tt";60
"106";1995;"ydinms";"ms";"rakennus tt";44
"107";1995;"ydinms";"ms";"korj & valm tt";165
"108";1995;"ydinms";"ms";"pros tt";97
"109";1995;"ydinms";"ms";"kulj tt";103
"110";1995;"ydinms";"ms";"siivoojat & kettiö tt";19
"111";1995;"ydinms";"ms";"muut tt";16
"112";1995;"ydinms";"ms";NA;16
"113";1995;"ydinms";"ydinms";"sotilaat";800
"114";1995;"ydinms";"ydinms";"johtajat";4485
"115";1995;"ydinms";"ydinms";"erityisasiantuntijat";18254
"116";1995;"ydinms";"ydinms";"asiantuntijat";23173
"117";1995;"ydinms";"ydinms";"tsto & aspal tt";16056
"118";1995;"ydinms";"ydinms";"pal, myynti & hoito tt";42421
"119";1995;"ydinms";"ydinms";"maanvil & metsä tt";45964
"120";1995;"ydinms";"ydinms";"rakennus tt";6729
"121";1995;"ydinms";"ydinms";"korj & valm tt";24607
"122";1995;"ydinms";"ydinms";"pros tt";15844
"123";1995;"ydinms";"ydinms";"kulj tt";13152
"124";1995;"ydinms";"ydinms";"siivoojat & kettiö tt";10280
"125";1995;"ydinms";"ydinms";"muut tt";2929
"126";1995;"ydinms";"ydinms";NA;5010
"127";1995;"ydinms";"kaupms";"sotilaat";22
"128";1995;"ydinms";"kaupms";"johtajat";64
"129";1995;"ydinms";"kaupms";"erityisasiantuntijat";424
"130";1995;"ydinms";"kaupms";"asiantuntijat";512
"131";1995;"ydinms";"kaupms";"tsto & aspal tt";249
"132";1995;"ydinms";"kaupms";"pal, myynti & hoito tt";493
"133";1995;"ydinms";"kaupms";"maanvil & metsä tt";139
"134";1995;"ydinms";"kaupms";"rakennus tt";163
"135";1995;"ydinms";"kaupms";"korj & valm tt";691
"136";1995;"ydinms";"kaupms";"pros tt";420
"137";1995;"ydinms";"kaupms";"kulj tt";321
"138";1995;"ydinms";"kaupms";"siivoojat & kettiö tt";87
"139";1995;"ydinms";"kaupms";"muut tt";70
"140";1995;"ydinms";"kaupms";NA;50
"141";1995;"ydinms";"kaup";"sotilaat";29
"142";1995;"ydinms";"kaup";"johtajat";120
"143";1995;"ydinms";"kaup";"erityisasiantuntijat";504
"144";1995;"ydinms";"kaup";"asiantuntijat";708
"145";1995;"ydinms";"kaup";"tsto & aspal tt";257
"146";1995;"ydinms";"kaup";"pal, myynti & hoito tt";597
"147";1995;"ydinms";"kaup";"maanvil & metsä tt";131
"148";1995;"ydinms";"kaup";"rakennus tt";213
"149";1995;"ydinms";"kaup";"korj & valm tt";810
"150";1995;"ydinms";"kaup";"pros tt";427
"151";1995;"ydinms";"kaup";"kulj tt";364
"152";1995;"ydinms";"kaup";"siivoojat & kettiö tt";100
"153";1995;"ydinms";"kaup";"muut tt";99
"154";1995;"ydinms";"kaup";NA;47
"155";1995;"ydinms";"tkakeskus";"sotilaat";56
"156";1995;"ydinms";"tkakeskus";"johtajat";315
"157";1995;"ydinms";"tkakeskus";"erityisasiantuntijat";1452
"158";1995;"ydinms";"tkakeskus";"asiantuntijat";2242
"159";1995;"ydinms";"tkakeskus";"tsto & aspal tt";897
"160";1995;"ydinms";"tkakeskus";"pal, myynti & hoito tt";1688
"161";1995;"ydinms";"tkakeskus";"maanvil & metsä tt";320
"162";1995;"ydinms";"tkakeskus";"rakennus tt";600
"163";1995;"ydinms";"tkakeskus";"korj & valm tt";2392
"164";1995;"ydinms";"tkakeskus";"pros tt";1107
"165";1995;"ydinms";"tkakeskus";"kulj tt";1145
"166";1995;"ydinms";"tkakeskus";"siivoojat & kettiö tt";455
"167";1995;"ydinms";"tkakeskus";"muut tt";280
"168";1995;"ydinms";"tkakeskus";NA;126
"169";1995;"ydinms";"yokaup";"sotilaat";295
"170";1995;"ydinms";"yokaup";"johtajat";213
"171";1995;"ydinms";"yokaup";"erityisasiantuntijat";1413
"172";1995;"ydinms";"yokaup";"asiantuntijat";1717
"173";1995;"ydinms";"yokaup";"tsto & aspal tt";762
"174";1995;"ydinms";"yokaup";"pal, myynti & hoito tt";1134
"175";1995;"ydinms";"yokaup";"maanvil & metsä tt";202
"176";1995;"ydinms";"yokaup";"rakennus tt";495
"177";1995;"ydinms";"yokaup";"korj & valm tt";1155
"178";1995;"ydinms";"yokaup";"pros tt";392
"179";1995;"ydinms";"yokaup";"kulj tt";775
"180";1995;"ydinms";"yokaup";"siivoojat & kettiö tt";400
"181";1995;"ydinms";"yokaup";"muut tt";255
"182";1995;"ydinms";"yokaup";NA;82
"183";1995;"ydinms";"pk";"sotilaat";14
"184";1995;"ydinms";"pk";"johtajat";188
"185";1995;"ydinms";"pk";"erityisasiantuntijat";614
"186";1995;"ydinms";"pk";"asiantuntijat";902
"187";1995;"ydinms";"pk";"tsto & aspal tt";387
"188";1995;"ydinms";"pk";"pal, myynti & hoito tt";411
"189";1995;"ydinms";"pk";"maanvil & metsä tt";82
"190";1995;"ydinms";"pk";"rakennus tt";201
"191";1995;"ydinms";"pk";"korj & valm tt";345
"192";1995;"ydinms";"pk";"pros tt";140
"193";1995;"ydinms";"pk";"kulj tt";294
"194";1995;"ydinms";"pk";"siivoojat & kettiö tt";108
"195";1995;"ydinms";"pk";"muut tt";95
"196";1995;"ydinms";"pk";NA;59
"197";1995;"kaupms";"ms";"sotilaat";9
"198";1995;"kaupms";"ms";"johtajat";23
"199";1995;"kaupms";"ms";"erityisasiantuntijat";101
"200";1995;"kaupms";"ms";"asiantuntijat";89
"201";1995;"kaupms";"ms";"tsto & aspal tt";26
"202";1995;"kaupms";"ms";"pal, myynti & hoito tt";72
"203";1995;"kaupms";"ms";"maanvil & metsä tt";12
"204";1995;"kaupms";"ms";"rakennus tt";16
"205";1995;"kaupms";"ms";"korj & valm tt";43
"206";1995;"kaupms";"ms";"pros tt";27
"207";1995;"kaupms";"ms";"kulj tt";39
"208";1995;"kaupms";"ms";"siivoojat & kettiö tt";10
"209";1995;"kaupms";"ms";"muut tt";NA
"210";1995;"kaupms";"ms";NA;4
"211";1995;"kaupms";"ydinms";"sotilaat";21
"212";1995;"kaupms";"ydinms";"johtajat";124
"213";1995;"kaupms";"ydinms";"erityisasiantuntijat";456
"214";1995;"kaupms";"ydinms";"asiantuntijat";563
"215";1995;"kaupms";"ydinms";"tsto & aspal tt";203
"216";1995;"kaupms";"ydinms";"pal, myynti & hoito tt";599
"217";1995;"kaupms";"ydinms";"maanvil & metsä tt";115
"218";1995;"kaupms";"ydinms";"rakennus tt";111
"219";1995;"kaupms";"ydinms";"korj & valm tt";465
"220";1995;"kaupms";"ydinms";"pros tt";244
"221";1995;"kaupms";"ydinms";"kulj tt";320
"222";1995;"kaupms";"ydinms";"siivoojat & kettiö tt";113
"223";1995;"kaupms";"ydinms";"muut tt";43
"224";1995;"kaupms";"ydinms";NA;28
"225";1995;"kaupms";"kaupms";"sotilaat";458
"226";1995;"kaupms";"kaupms";"johtajat";2104
"227";1995;"kaupms";"kaupms";"erityisasiantuntijat";9456
"228";1995;"kaupms";"kaupms";"asiantuntijat";12066
"229";1995;"kaupms";"kaupms";"tsto & aspal tt";7136
"230";1995;"kaupms";"kaupms";"pal, myynti & hoito tt";21590
"231";1995;"kaupms";"kaupms";"maanvil & metsä tt";17337
"232";1995;"kaupms";"kaupms";"rakennus tt";3572
"233";1995;"kaupms";"kaupms";"korj & valm tt";10179
"234";1995;"kaupms";"kaupms";"pros tt";7053
"235";1995;"kaupms";"kaupms";"kulj tt";6051
"236";1995;"kaupms";"kaupms";"siivoojat & kettiö tt";5290
"237";1995;"kaupms";"kaupms";"muut tt";1309
"238";1995;"kaupms";"kaupms";NA;2326
"239";1995;"kaupms";"kaup";"sotilaat";97
"240";1995;"kaupms";"kaup";"johtajat";568
"241";1995;"kaupms";"kaup";"erityisasiantuntijat";1931
"242";1995;"kaupms";"kaup";"asiantuntijat";2986
"243";1995;"kaupms";"kaup";"tsto & aspal tt";1500
"244";1995;"kaupms";"kaup";"pal, myynti & hoito tt";2905
"245";1995;"kaupms";"kaup";"maanvil & metsä tt";281
"246";1995;"kaupms";"kaup";"rakennus tt";796
"247";1995;"kaupms";"kaup";"korj & valm tt";3048
"248";1995;"kaupms";"kaup";"pros tt";1739
"249";1995;"kaupms";"kaup";"kulj tt";1068
"250";1995;"kaupms";"kaup";"siivoojat & kettiö tt";686
"251";1995;"kaupms";"kaup";"muut tt";448
"252";1995;"kaupms";"kaup";NA;107
"253";1995;"kaupms";"tkakeskus";"sotilaat";36
"254";1995;"kaupms";"tkakeskus";"johtajat";295
"255";1995;"kaupms";"tkakeskus";"erityisasiantuntijat";1248
"256";1995;"kaupms";"tkakeskus";"asiantuntijat";1742
"257";1995;"kaupms";"tkakeskus";"tsto & aspal tt";777
"258";1995;"kaupms";"tkakeskus";"pal, myynti & hoito tt";1355
"259";1995;"kaupms";"tkakeskus";"maanvil & metsä tt";117
"260";1995;"kaupms";"tkakeskus";"rakennus tt";426
"261";1995;"kaupms";"tkakeskus";"korj & valm tt";1597
"262";1995;"kaupms";"tkakeskus";"pros tt";808
"263";1995;"kaupms";"tkakeskus";"kulj tt";609
"264";1995;"kaupms";"tkakeskus";"siivoojat & kettiö tt";358
"265";1995;"kaupms";"tkakeskus";"muut tt";256
"266";1995;"kaupms";"tkakeskus";NA;50
"267";1995;"kaupms";"yokaup";"sotilaat";273
"268";1995;"kaupms";"yokaup";"johtajat";891
"269";1995;"kaupms";"yokaup";"erityisasiantuntijat";4200
"270";1995;"kaupms";"yokaup";"asiantuntijat";5270
